Date,Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru
5 Feb 2021,1134854,31202,926980,176672,11749
6 Feb 2021,1147010,31393,939184,176433,12156
7 Feb 2021,1157837,31556,949990,176291,10827
8 Feb 2021,1166079,31763,963028,171288,8242
9 Feb 2021,1174779,31976,973452,169351,8700
10 Feb 2021,1183555,32167,982972,168416,8776
11 Feb 2021,1191990,32381,993117,166492,8435
12 Feb 2021,1201859,32656,1004117,165086,9869
13 Feb 2021,1210703,32936,1016036,161731,8844
14 Feb 2021,1217468,33183,1025273,159012,6765
15 Feb 2021,1223930,33367,1032065,158498,6462
16 Feb 2021,1233959,33596,1039674,160689,10029
17 Feb 2021,1243646,33788,1047676,162182,9687
18 Feb 2021,1252685,33969,1058222,160494,9039
19 Feb 2021,1263299,34152,1069005,160142,10614
20 Feb 2021,1271353,34316,1078840,158197,8054
21 Feb 2021,1278653,34489,1087076,157088,7300
22 Feb 2021,1288833,34691,1096994,157148,10180
23 Feb 2021,1298608,35014,1104990,158604,9775
24 Feb 2021,1306141,35254,1112725,158162,7533
25 Feb 2021,1314634,35518,1121411,157705,8493
26 Feb 2021,1322866,35786,1128672,158408,8232
27 Feb 2021,1329074,35981,1136054,157039,6208
28 Feb 2021,1334634,36166,1142703,155765,5560
1 Mar 2021,1341314,36325,1151915,153074,6680
2 Mar 2021,1347026,36518,1160863,149645,5712
