Nama Kecamatan,Total Terkonfirmasi,Total Dalam Perawatan,Total Sembuh,Total Meninggal
KARAWANG BARAT,1.524,192,1.306,26
RAWAMERTA,164,24,133,7
TEMPURAN,67,13,51,3
KUTAWALUYA,79,10,66,3
RENGASDENGKLOK,277,37,233,7
JAYAKERTA,99,15,82,2
PEDES,92,15,75,2
CILEBAR,44,10,34,0
CIBUAYA,55,5,47,3
TIRTAJAYA,68,5,62,1
BATUJAYA,55,11,43,1
PAKISJAYA,12,2,9,1
SETU,612,178,431,3
SERANG BARU,469,127,342,0
CIKARANG PUSAT,384,83,299,2
CIKARANG SELATAN,1.068,243,823,2
CIBARUSAH,308,86,222,0
BOJONGMANGU,19,11,8,0
CIKARANG TIMUR,430,138,291,1
KEDUNG WARINGIN,143,26,117,0
CIKARANG UTARA,1.201,253,945,3
KARANG BAHAGIA,295,70,225,0
CIBITUNG,1.223,248,971,4
CIKARANG BARAT,857,264,592,1
TAMBUN SELATAN,2.778,590,2.166,22
TAMBUN UTARA,467,74,392,1
BABELAN,574,177,391,6
TARUMAJAYA,726,154,570,2
TAMBELANG,39,10,29,0
SUKAWANGI,43,13,30,0
SUKATANI,145,37,108,0
SUKAKARYA,72,27,45,0
PEBAYURAN,153,50,102,1
CABANGBUNGIN,64,33,31,0
MUARAGEMBONG,12,6,5,1
RONGGA,52,6,46,0
GUNUNGHALU,65,13,52,0
SINDANGKERTA,28,0,28,0
CILILIN,234,23,209,2
CIHAMPELAS,166,11,155,0
CIPONGKOR,20,1,19,0
BATUJAJAR,231,10,221,0
SAGULING,37,2,35,0
CIPATAT,95,20,75,0
PADALARANG,469,30,433,6
NGAMPRAH,740,60,678,2
PARONGPONG,289,20,266,3
LEMBANG,739,71,662,6
CISARUA,142,10,131,1
CIKALONGWETAN,146,16,129,1
CIPEUNDEUY,70,10,60,0
CIMERAK,66,0,66,0
CIJULANG,79,0,79,0
CIGUGUR,39,0,39,0
LANGKAPLANCAR,57,0,57,0
PARIGI,88,0,87,1
SIDAMULIH,76,0,76,0
PANGANDARAN,164,0,164,0
KALIPUCANG,84,0,84,0
PADAHERANG,90,0,90,0
MANGUNJAYA,36,0,36,0
BOGOR SELATAN,871,3,853,15
BOGOR TIMUR,697,0,680,17
BOGOR UTARA,1.487,8,1.462,17
BOGOR TENGAH,698,3,683,12
BOGOR BARAT,1.794,1,1.763,30
TANAH SAREAL,1.894,195,1.672,27
BAROS,205,69,134,2
LEMBURSITU,129,88,41,0
CIBEUREUM,403,80,316,7
CITAMIANG,494,149,337,8
WARUDOYONG,532,113,412,7
GUNUNGPUYUH,391,1,379,11
CIKOLE,641,162,472,7
BANDUNG KULON,442,65,371,6
BABAKAN CIPARAY,225,33,188,4
BOJONGLOA KALER,192,18,170,4
BOJONGLOA KIDUL,236,22,212,2
ASTANA ANYAR,255,29,224,2
REGOL,433,84,345,4
LENGKONG,481,73,402,6
BANDUNG KIDUL,383,60,321,2
BUAHBATU,394,0,392,2
RANCASARI,496,58,437,1
GEDEBAGE,221,37,183,1
CIBIRU,340,70,267,3
PANYILEUKAN,396,109,283,4
UJUNGBERUNG,411,121,290,0
CINAMBO,114,14,100,0
ARCAMANIK,587,116,465,6
ANTAPANI,658,132,525,1
MANDALAJATI,319,80,239,0
KIARACONDONG,451,71,375,5
BATUNUNGGAL,420,95,321,4
SUMUR BANDUNG,146,6,138,2
ANDIR,516,100,410,6
CICENDO,366,51,310,5
BANDUNG WETAN,106,7,99,0
CIBEUNYING KIDUL,417,102,312,3
CIBEUNYING KALER,220,47,169,4
COBLONG,638,113,521,4
SUKAJADI,542,137,403,2
SUKASARI,447,102,345,0
CIDADAP,153,23,129,1
SAWANGAN,2.402,650,1.727,25
BOJONGSARI,1.547,446,1.086,15
PANCORAN MAS,3.430,678,2.724,28
CIPAYUNG,1.852,400,1.442,10
SUKMAJAYA,4.043,737,3.267,39
CILODONG,2.417,513,1.892,12
